id,Agency,Commendation_or_Complaint,Subject_Matter,Subject_Detail,Issue_Detail,Year,Quarter,Branch_Line_Route
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,6
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,N
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,4
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,7
subway_S,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,S (Franklin Ave)
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,R
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,N
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,1
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,2
subway_3,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,3
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,L
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,2
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,1
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,1
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,2
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,7
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Litter / Garbage / Debris,2018.0,2.0,1
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Noise,2018.0,2.0,A
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Noise,2018.0,2.0,N
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,A
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,F
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,A
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,Q
subway_B,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,B
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,F
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,4
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,R
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Rats / Mice,2018.0,2.0,R
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,Q
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,J
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,R
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,7
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,F
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,1
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,4
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,F
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,A
subway_4,Subways,Complaint,Trains,Advertisements,Graffiti,2018.0,2.0,4
subway_C,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,C
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,1
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,A
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,1
subway_M,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,M
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,Q
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,N
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,A
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,L
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,A
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,L
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,2
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,1
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,6
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,1
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,R
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,L
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Smoke / Fumes / Smell / Odor,2018.0,2.0,E
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Too Hot,2018.0,2.0,Q
subway_S,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,S (Franklin Ave)
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,R
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,2
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,L
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,Q
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,N
subway_D,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,D
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,N
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,E
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,N
subway_C,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,C
subway_B,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,B
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,7
subway_5,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,5
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,R
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,F
subway_D,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,D
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,Q
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,J
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,1
subway_C,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,C
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,F
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,Q
subway_D,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,D
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,F
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,N
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,J
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,L
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,J
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,6
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,4
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,R
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,6
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,1
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,J
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,J
subway_C,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,C
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,L
subway_C,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,C
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,1
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,A
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,L
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,Q
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,E
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Platforms,Unauthorized / Criminal Activity,2018.0,2.0,Q
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,6
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,7
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,A
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,Q
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,4
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,7
subway_7,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Closed / Not Open / Locked,2018.0,2.0,7
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Difficulty Boarding / Entering,2018.0,2.0,E
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Homeless Present,2018.0,2.0,R
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Homeless Present,2018.0,2.0,R
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Improper Function/Needs Repair/Damaged,2018.0,2.0,F
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Improper Function/Needs Repair/Damaged,2018.0,2.0,R
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Men,Unauthorized / Criminal Activity,2018.0,2.0,R
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Closed / Not Open / Locked,2018.0,2.0,E
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Closed / Not Open / Locked,2018.0,2.0,A
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Closed / Not Open / Locked,2018.0,2.0,4
subway_J,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Closed / Not Open / Locked,2018.0,2.0,J
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Improper Function/Needs Repair/Damaged,2018.0,2.0,E
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Improper Function/Needs Repair/Damaged,2018.0,2.0,E
subway_D,Subways,Complaint,Station /Bus Stop /Facility /Structure,Restrooms - Women,Leaking / Wet,2018.0,2.0,D
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Seats / Benches,Add More / Not Enough,2018.0,2.0,E
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Seats / Benches,Add More / Not Enough,2018.0,2.0,R
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Seats / Benches,Litter / Garbage / Debris,2018.0,2.0,A
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Accessibility Due To Construction,2018.0,2.0,Q
subway_1,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Drainage,2018.0,2.0,1
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Drainage,2018.0,2.0,A
subway_G,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Drainage,2018.0,2.0,G
subway_3,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Duration of Construction,2018.0,2.0,3
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Duration of Construction,2018.0,2.0,N
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Graffiti,2018.0,2.0,N
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Graffiti,2018.0,2.0,A
subway_M,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Grass / Landscaping / Vegetation Control,2018.0,2.0,M
subway_Q,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Grass / Landscaping / Vegetation Control,2018.0,2.0,Q
subway_M,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Homeless Present,2018.0,2.0,M
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,2
subway_G,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,G
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,2
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,A
subway_F,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,F
subway_5,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,5
subway_6,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,6
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,2
subway_L,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,L
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,N
subway_E,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,E
subway_N,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,N
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,2
subway_R,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,R
subway_4,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Improper Function/Needs Repair/Damaged,2018.0,2.0,4
subway_A,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Litter / Garbage / Debris,2018.0,2.0,A
subway_2,Subways,Complaint,Station /Bus Stop /Facility /Structure,Sidewalk,Litter / Garbage / Debris,2018.0,2.0,2
